Price,Area,rooms,type,City_District,Date
57000,42.0,1,new,"Tashkent, Yakkasarai district","June 25, 2023"
60000,50.0,1,new,"Tashkent, Yashnabad district","June 25, 2023"
55000,42.0,1,new,"Tashkent, Mirzo-Ulugbek district","June 25, 2023"
40000,30.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
72000,45.0,1,new,"Tashkent, Yashnabad district","June 25, 2023"
44000,50.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
51500,28.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
42000,35.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
75000,42.0,1,new,"Tashkent, Yunusabad district","June 25, 2023"
53000,45.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
45000,35.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
45000,35.0,1,new,"Tashkent, Yashnabad district","June 25, 2023"
46000,36.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
46400,43.0,1,new,"Tashkent, Mirzo-Ulugbek district","June 25, 2023"
46300,33.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
48000,30.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
43900,36.0,1,new,"Tashkent, Uchtepinsky district","June 25, 2023"
41000,37.0,1,new,"Tashkent, Mirzo-Ulugbek district","June 25, 2023"
52200,39.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
47000,38.0,1,new,"Tashkent, Yakkasarai district","June 25, 2023"
47000,44.0,1,new,"Tashkent, Yashnabad district","June 25, 2023"
40000,35.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
45500,34.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
44000,26.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
42000,31.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
45000,28.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
43000,28.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
50600,33.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
47000,30.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
60000,35.0,1,new,"Tashkent, Mirabad district","June 25, 2023"
44500,40.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
47000,28.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
39000,36.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
41000,35.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
55000,35.0,1,new,"Tashkent, Mirabad district","June 25, 2023"
51200,28.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
44500,28.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
51000,30.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
50500,38.0,1,new,"Tashkent, Yunusabad district","June 25, 2023"
36200,45.0,1,new,"Tashkent, Yashnabad district","June 25, 2023"
44000,30.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
46000,30.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
20500,18.0,1,new,"Tashkent, Yashnabad district","June 25, 2023"
48000,32.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
41500,38.0,1,new,"Tashkent, Yunusabad district","June 25, 2023"
44500,30.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
43500,30.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
48000,34.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
24000,18.0,1,new,"Tashkent, Mirabad district","June 25, 2023"
46000,42.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
44000,28.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
51000,28.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
46500,34.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
36700,30.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
44900,28.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
49000,30.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
51000,34.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
46499,31.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
55000,34.0,1,new,"Tashkent, Yunusabad district","June 25, 2023"
44000,32.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
42500,33.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
45500,12.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
47200,33.0,1,new,"Tashkent, Yakkasarai district","June 25, 2023"
51900,34.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
52000,28.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
51000,34.0,1,new,"Tashkent, Yakkasarai district","June 25, 2023"
46500,30.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
47000,38.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
41200,42.0,1,new,"Tashkent, Uchtepinsky district","June 25, 2023"
40000,48.0,1,new,"Tashkent, Yashnabad district","June 25, 2023"
47500,38.0,1,new,"Tashkent, Mirzo-Ulugbek district","June 25, 2023"
30000,30.0,1,new,"Tashkent, Yashnabad district","June 25, 2023"
19500,19.0,1,new,"Tashkent, Yakkasarai district","June 25, 2023"
53000,58.0,1,new,"Tashkent, Almazar district","June 25, 2023"
49000,40.0,1,new,"Tashkent, Yakkasarai district","June 25, 2023"
55000,40.0,1,new,"Tashkent, Almazar district","June 25, 2023"
66000,28.0,1,new,"Tashkent, Yakkasarai district","June 25, 2023"
38000,42.0,1,new,"Tashkent, Mirabad district","June 25, 2023"
39500,30.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
43000,30.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
47000,40.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
39500,34.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
60500,38.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
45000,38.0,1,new,"Tashkent, Yakkasarai district","June 25, 2023"
56505,33.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
85000,35.0,1,new,"Tashkent, Mirabad district","June 25, 2023"
49499,35.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
28000,21.0,1,new,"Tashkent, Yashnabad district","June 25, 2023"
41999,38.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
36000,39.0,1,new,"Tashkent, Yashnabad district","June 25, 2023"
45000,43.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
43600,28.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
40500,42.0,1,new,"Tashkent, Yashnabad district","June 25, 2023"
51500,40.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
43500,33.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
25000,16.0,1,new,"Tashkent, Yunusabad district","June 25, 2023"
54500,43.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
50000,30.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
43500,38.0,1,new,"Tashkent, Uchtepinsky district","June 25, 2023"
46000,32.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
58000,30.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
31000,21.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
43000,33.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
20000,20.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
44400,34.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
49000,45.0,1,new,"Tashkent, Mirzo-Ulugbek district","June 25, 2023"
39000,36.0,1,new,"Tashkent, Yashnabad district","June 25, 2023"
66000,30.0,1,new,"Tashkent, Yakkasarai district","June 25, 2023"
55500,32.0,1,new,"Tashkent, Shaikhantahur district","June 25, 2023"
44000,34.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
49500,33.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
43000,30.0,1,new,"Tashkent, Yakkasarai district","June 25, 2023"
48500,45.0,1,new,"Tashkent, Mirzo-Ulugbek district","June 25, 2023"
39700,34.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
49500,28.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
41000,36.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
63000,50.0,1,new,"Tashkent, Yakkasarai district","June 25, 2023"
63000,50.0,1,new,"Tashkent, Mirabad district","June 25, 2023"
63000,50.0,1,new,"Tashkent, Mirzo-Ulugbek district","June 25, 2023"
23000,18.0,1,new,"Tashkent, Yashnabad district","June 25, 2023"
39500,35.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
53000,33.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
48777,2.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
41000,33.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
50977,32.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
46500,46.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
38500,30.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
61000,48.0,1,new,"Tashkent, Yunusabad district","June 25, 2023"
29800,30.0,1,new,"Tashkent, Yashnabad district","June 25, 2023"
46000,30.0,1,new,"Tashkent, Yunusabad district","June 25, 2023"
33000,42.0,1,new,"Tashkent, Yashnabad district","June 25, 2023"
55500,48.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
45000,30.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
38700,35.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
43000,38.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
22000,16.0,1,new,"Tashkent, Yashnabad district","June 25, 2023"
60000,40.0,1,new,"Tashkent, Mirzo-Ulugbek district","June 25, 2023"
42000,36.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
36200,45.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
25000,22.0,1,new,"Tashkent, Mirabad district","June 25, 2023"
42500,29.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
48500,30.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
42000,28.0,1,new,"Tashkent, Mirabad district","June 25, 2023"
42000,34.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
22000,18.0,1,new,"Tashkent, Sergeli district","June 25, 2023"
42400,33.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
45500,33.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
46300,34.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
54000,45.0,1,new,"Tashkent, Mirzo-Ulugbek district","June 25, 2023"
49200,28.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
48777,35.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
32000,28.0,1,new,"Tashkent, Mirabad district","June 25, 2023"
56200,30.0,1,new,"Tashkent, Yakkasarai district","June 25, 2023"
54100,31.0,1,new,"Tashkent, Yakkasarai district","June 25, 2023"
47500,30.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
9500,41.0,1,new,"Tashkent, Yunusabad district","June 25, 2023"
42500,38.0,1,new,"Tashkent, Yunusabad district","June 25, 2023"
60000,43.0,1,new,"Tashkent, Yunusabad district","June 25, 2023"
56400,34.0,1,new,"Tashkent, Yakkasarai district","June 25, 2023"
48500,42.0,1,new,"Tashkent, Almazar district","June 25, 2023"
47000,40.0,1,new,"Tashkent, Mirabad district","June 25, 2023"
50500,30.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
57000,30.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
47000,31.0,1,new,"Tashkent, Yakkasarai district","June 25, 2023"
42000,30.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
46500,35.0,1,new,"Tashkent, Yakkasarai district","June 25, 2023"
43500,34.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
53000,35.0,1,new,"Tashkent, Yunusabad district","June 25, 2023"
41700,40.0,1,new,"Tashkent, Sergeli district","June 25, 2023"
51200,42.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
42700,26.0,1,new,"Tashkent, Yunusabad district","June 25, 2023"
39500,32.0,1,new,"Tashkent, Yashnabad district","June 25, 2023"
32000,36.0,1,new,"Tashkent, Yashnabad district","June 25, 2023"
17500,19.0,1,new,"Tashkent, Yakkasarai district","June 25, 2023"
72000,30.0,1,new,"Tashkent, Yakkasarai district","June 25, 2023"
45000,40.0,1,new,"Tashkent, Yunusabad district","June 25, 2023"
44000,40.0,1,new,"Tashkent, Shaikhantahur district","June 25, 2023"
21000,21.0,1,new,"Tashkent, Sergeli district","June 25, 2023"
52000,39.0,1,new,"Tashkent, Shaikhantahur district","June 25, 2023"
45000,32.0,1,new,"Tashkent, Shaikhantahur district","June 25, 2023"
39000,30.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
28500,22.0,1,new,"Tashkent, Mirabad district","June 25, 2023"
46000,45.0,1,new,"Tashkent, Mirzo-Ulugbek district","June 25, 2023"
57000,35.0,1,new,"Tashkent, Mirabad district","June 25, 2023"
39000,35.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
52500,38.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
41000,30.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
80000,42.0,1,new,"Tashkent, Yakkasarai district","June 25, 2023"
35000,34.0,1,new,"Tashkent, Mirabad district","June 25, 2023"
53500,33.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
37500,33.0,1,new,"Tashkent, Mirzo-Ulugbek district","June 25, 2023"
22799,20.0,1,new,"Tashkent, Sergeli district","June 25, 2023"
46500,38.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
43000,40.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
42000,38.0,1,new,"Tashkent, Yashnabad district","June 25, 2023"
44500,35.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
29000,20.0,1,new,"Tashkent, Chilanzar district","June 25, 2023"
Price,Area,rooms,type,City_District,Date
39000,64.0,2,new,"Tashkent, Bektemir district","June 25, 2023"
70000,80.0,2,new,"Tashkent, Almazar district","June 23, 2023"
56500,48.0,2,new,"Tashkent, Chilanzar district","June 25, 2023"
82500,70.0,2,new,"Tashkent, Chilanzar district","June 25, 2023"
57000,47.0,2,new,"Tashkent, Mirzo-Ulugbek district","June 25, 2023"
56000,48.0,2,new,"Tashkent, Yashnabad district","June 24, 2023"
62000,58.0,2,new,"Tashkent, Shaikhantahur district","June 25, 2023"
84500,70.0,2,new,"Tashkent, Mirabad district","June 25, 2023"
49000,50.0,2,new,"Tashkent, Chilanzar district","June 25, 2023"
33500,46.0,2,new,"Tashkent, Yashnabad district","June 25, 2023"
65000,62.0,2,new,"Tashkent, Almazar district","June 25, 2023"
43000,56.0,2,new,"Tashkent, Yashnabad district","June 25, 2023"
49700,50.0,2,new,"Tashkent, Mirzo-Ulugbek district","June 24, 2023"
75000,56.0,2,new,"Tashkent, Mirzo-Ulugbek district","June 25, 2023"
70000,60.0,2,new,"Tashkent, Sergeli district","June 25, 2023"
50000,58.0,2,new,"Tashkent, Sergeli district","May 31, 2023"
92000,65.0,2,new,"Tashkent, Yakkasarai district","June 24, 2023"
75000,60.27,2,new,"Tashkent, Sergeli district","June 24, 2023"
50000,60.0,2,new,"Tashkent, Almazar district","June 25, 2023"
55000,58.0,2,new,"Tashkent, Almazar district","June 21, 2023"
62500,50.0,2,new,"Tashkent, Chilanzar district","June 25, 2023"
66500,47.0,2,new,"Tashkent, Chilanzar district","June 24, 2023"
61500,60.55,2,new,"Tashkent, Almazar district","June 25, 2023"
65000,60.0,2,new,"Tashkent, Yashnabad district","June 25, 2023"
68000,65.0,2,new,"Tashkent, Chilanzar district","June 25, 2023"
51500,42.0,2,new,"Tashkent, Chilanzar district","June 23, 2023"
218000,60.0,2,new,"Tashkent, Shaikhantahur district","June 24, 2023"
61000,58.0,2,new,"Tashkent, Almazar district","June 24, 2023"
66000,57.0,2,new,"Tashkent, Yunusabad district","June 25, 2023"
70000,50.0,2,new,"Tashkent, Yunusabad district","June 24, 2023"
63000,58.0,2,new,"Tashkent, Yunusabad district","June 25, 2023"
51000,950.0,2,new,"Tashkent, Mirzo-Ulugbek district","June 19, 2023"
79000,62.6,2,new,"Tashkent, Mirzo-Ulugbek district","June 25, 2023"
50500,50.0,2,new,"Tashkent, Mirzo-Ulugbek district","June 24, 2023"
119000,65.0,2,new,"Tashkent, Yunusabad district","June 24, 2023"
53500,57.0,2,new,"Tashkent, Yunusabad district","June 24, 2023"
90000,55.0,2,new,"Tashkent, Chilanzar district","June 24, 2023"
78000,52.0,2,new,"Tashkent, Yunusabad district","June 23, 2023"
80000,74.0,2,new,"Tashkent, Almazar district","June 25, 2023"
55000,60.0,2,new,"Tashkent, Almazar district","June 24, 2023"
66000,48.0,2,new,"Tashkent, Mirzo-Ulugbek district","June 25, 2023"
76500,66.0,2,new,"Tashkent, Mirabad district","June 25, 2023"
67000,63.0,2,new,"Tashkent, Mirzo-Ulugbek district","June 25, 2023"
75000,58.0,2,new,"Tashkent, Yakkasarai district","June 25, 2023"
52000,50.0,2,new,"Tashkent, Sergeli district","June 25, 2023"
89000,59.0,2,new,"Tashkent, Mirabad district","June 24, 2023"
46000,34.0,2,new,"Tashkent, Uchtepinsky district","June 25, 2023"
58500,45.0,2,new,"Tashkent, Mirzo-Ulugbek district","June 25, 2023"
58000,67.0,2,new,"Tashkent, Uchtepinsky district","June 14, 2023"
83000,63.0,2,new,"Tashkent, Almazar district","June 25, 2023"
67000,64.0,2,new,"Tashkent, Yashnabad district","June 25, 2023"
60000,50.0,2,new,"Tashkent, Yashnabad district","June 25, 2023"
65500,64.0,2,new,"Tashkent, Yunusabad district","June 25, 2023"
100000,66.5,2,new,"Tashkent, Mirabad district","June 24, 2023"
55000,48.0,2,new,"Tashkent, Chilanzar district","June 25, 2023"
54000,52.0,2,new,"Tashkent, Yunusabad district","June 25, 2023"
53000,53.0,2,new,"Tashkent, Mirzo-Ulugbek district","June 25, 2023"
37500,56.32,2,new,"Tashkent, Bektemir district","June 25, 2023"
155000,57.0,2,new,"Tashkent, Shaikhantahur district","June 25, 2023"
63500,55.0,2,new,"Tashkent, Mirzo-Ulugbek district","June 24, 2023"
57500,50.0,2,new,"Tashkent, Mirzo-Ulugbek district","June 24, 2023"
89999,42.0,2,new,"Tashkent, Mirzo-Ulugbek district","June 22, 2023"
66000,55.0,2,new,"Tashkent, Mirzo-Ulugbek district","June 24, 2023"
58000,50.6,2,new,"Tashkent, Yashnabad district","June 24, 2023"
68500,46.0,2,new,"Tashkent, Chilanzar district","June 23, 2023"
65157,61.71,2,new,"Tashkent, Yunusabad district","June 23, 2023"
20553,65.0,2,new,"Tashkent, Yunusabad district","June 25, 2023"
54000,48.0,2,new,"Tashkent, Chilanzar district","June 25, 2023"
57500,54.0,2,new,"Tashkent, Yunusabad district","June 25, 2023"
62000,60.0,2,new,"Tashkent, Yunusabad district","June 14, 2023"
37000,36.0,2,new,"Tashkent, Chilanzar district","June 24, 2023"
70000,60.0,2,new,"Tashkent, Chilanzar district","June 25, 2023"
60000,62.0,2,new,"Tashkent, Mirabad district","May 29, 2023"
Price,Area,rooms,type,City_District,Date
73000,75.0,3,new,"Tashkent, Yakkasarai district","June 25, 2023"
57500,63.0,3,new,"Tashkent, Chilanzar district","June 23, 2023"
48103,78.0,3,new,"Tashkent, Yakkasarai district","June 25, 2023"
82000,70.0,3,new,"Tashkent, Almazar district","June 23, 2023"
45000,50.0,3,new,"Tashkent, Chilanzar district","June 25, 2023"
64000,77.0,3,new,"Tashkent, Yashnabad district","June 23, 2023"
95000,70.0,3,new,"Tashkent, Almazar district","June 24, 2023"
85000,67.0,3,new,"Tashkent, Yunusabad district","June 24, 2023"
68000,72.0,3,new,"Tashkent, Yashnabad district","June 23, 2023"
59000,70.0,3,new,"Tashkent, Chilanzar district","June 25, 2023"
72000,59.0,3,new,"Tashkent, Chilanzar district","June 25, 2023"
70000,72.0,3,new,"Tashkent, Yashnabad district","June 25, 2023"
110000,72.0,3,new,"Tashkent, Yunusabad district","June 25, 2023"
78000,70.0,3,new,"Tashkent, Yakkasarai district","June 25, 2023"
52500,53.0,3,new,"Tashkent, Mirabad district","June 25, 2023"
67000,71.0,3,new,"Tashkent, Chilanzar district","June 24, 2023"
69999,86.0,3,new,"Tashkent, Yakkasarai district","June 24, 2023"
85000,85.0,3,new,"Tashkent, Yunusabad district","June 24, 2023"
60347,70.0,3,new,"Tashkent, Almazar district","June 25, 2023"
90000,76.0,3,new,"Tashkent, Yunusabad district","June 23, 2023"
85000,104.0,3,new,"Tashkent, Chilanzar district","June 25, 2023"
68000,17.0,3,new,"Tashkent, Yashnabad district","June 25, 2023"
55000,77.0,3,new,"Tashkent, Bektemir district","June 25, 2023"
92000,72.0,3,new,"Tashkent, Shaikhantahur district","June 25, 2023"
94000,88.0,3,new,"Tashkent, Shaikhantahur district","June 25, 2023"
88000,85.0,3,new,"Tashkent, Yakkasarai district","June 24, 2023"
75000,72.0,3,new,"Tashkent, Yunusabad district","June 25, 2023"
89900,62.0,3,new,"Tashkent, Uchtepinsky district","June 25, 2023"
105000,72.0,3,new,"Tashkent, Almazar district","June 23, 2023"
70500,71.0,3,new,"Tashkent, Almazar district","June 22, 2023"
76000,63.0,3,new,"Tashkent, Chilanzar district","June 25, 2023"
153000,90.0,3,new,"Tashkent, Shaikhantahur district","June 24, 2023"
79000,78.42,3,new,"Tashkent, Mirabad district","June 25, 2023"
105000,70.0,3,new,"Tashkent, Yunusabad district","June 24, 2023"
85000,72.0,3,new,"Tashkent, Chilanzar district","June 23, 2023"
80000,100.0,3,new,"Tashkent, Sergeli district","June 25, 2023"
103000,70.0,3,new,"Tashkent, Mirzo-Ulugbek district","June 22, 2023"
190000,135.0,3,new,"Tashkent, Shaikhantahur district","June 25, 2023"
140000,80.0,3,new,"Tashkent, Mirzo-Ulugbek district","June 25, 2023"
95000,85.0,3,new,"Tashkent, Yunusabad district","June 24, 2023"
71000,78.0,3,new,"Tashkent, Yashnabad district","June 25, 2023"
73000,76.0,3,new,"Tashkent, Shaikhantahur district","June 24, 2023"
66000,1.0,3,new,"Tashkent, Uchtepinsky district","June 25, 2023"
73500,66.0,3,new,"Tashkent, Yunusabad district","June 24, 2023"
135000,80.0,3,new,"Tashkent, Yashnabad district","June 25, 2023"
80000,67.0,3,new,"Tashkent, Chilanzar district","June 25, 2023"
85000,75.0,3,new,"Tashkent, Mirzo-Ulugbek district","June 24, 2023"
89900,72.0,3,new,"Tashkent, Shaikhantahur district","June 24, 2023"
90000,78.0,3,new,"Tashkent, Almazar district","June 25, 2023"
83000,84.0,3,new,"Tashkent, Yunusabad district","June 23, 2023"
120000,78.0,3,new,"Tashkent, Mirzo-Ulugbek district","June 25, 2023"
63000,58.0,3,new,"Tashkent, Yunusabad district","June 25, 2023"
69000,61.0,3,new,"Tashkent, Yashnabad district","June 23, 2023"
81500,78.0,3,new,"Tashkent, Yunusabad district","June 25, 2023"
45000,60.0,3,new,"Tashkent, Yunusabad district","June 24, 2023"
102000,80.0,3,new,"Tashkent, Mirzo-Ulugbek district","June 25, 2023"
120000,75.0,3,new,"Tashkent, Mirabad district","June 23, 2023"
70000,62.0,3,new,"Tashkent, Chilanzar district","June 25, 2023"
64500,78.0,3,new,"Tashkent, Yashnabad district","June 23, 2023"
110000,150.0,3,new,"Tashkent, Bektemir district","June 23, 2023"
71000,68.0,3,new,"Tashkent, Yakkasarai district","June 25, 2023"
105000,87.0,3,new,"Tashkent, Yunusabad district","June 20, 2023"
69900,86.0,3,new,"Tashkent, Yakkasarai district","June 24, 2023"
Price,Area,rooms,type,City_District,Date
70000,107.0,4,new,"Tashkent, Almazar district","June 25, 2023"
86000,100.0,4,new,"Tashkent, Sergeli district","June 25, 2023"
89900,99.0,4,new,"Tashkent, Sergeli district","June 24, 2023"
120000,90.0,4,new,"Tashkent, Yunusabad district","June 23, 2023"
105000,98.0,4,new,"Tashkent, Sergeli district","June 24, 2023"
110000,90.0,4,new,"Tashkent, Chilanzar district","June 25, 2023"
77500,80.0,4,new,"Tashkent, Yunusabad district","June 25, 2023"
65000,91.0,4,new,"Tashkent, Sergeli district","June 23, 2023"
73000,100.0,4,new,"Tashkent, Yashnabad district","June 24, 2023"
133000,90.0,4,new,"Tashkent, Yashnabad district","June 25, 2023"
100000,95.0,4,new,"Tashkent, Shaikhantahur district","June 25, 2023"
72900,91.0,4,new,"Tashkent, Mirzo-Ulugbek district","June 25, 2023"
75000,104.0,4,new,"Tashkent, Sergeli district","June 24, 2023"
100000,78.0,4,new,"Tashkent, Chilanzar district","June 24, 2023"
